model,rmse_CA,rmse_CB,rmse_CC,rmse_T_out,mean_rmse_available_outputs
First-principles baseline,38.52169475037936,29.85188507489357,29.091783992638206,174.57896470129756,68.01108212980218
Block 1 raw (series_1),9.843425435526973,2.753040166288181,3.0306424299874744,28.311009327164243,10.984529339741718
Block 2 raw (parallel),7.319027842028163,,,19.019202550019646,13.169115196023904
Final retained hybrid,7.319027842028163,2.753040166288181,3.0306424299874744,19.019202550019646,8.030478247080865
