stage,retained,termination_reason,retained_structure,optimal_input_set,selected_output_set,resolved_outputs,unresolved_after_block,propagated_synthetic_inputs,local_aicc,global_aicc,delta_global_aicc,relative_global_aicc_change,pseudo_global_aicc,delta_pseudo_global_aicc,relative_pseudo_global_aicc_change,parameter_count,rmse,relative_rmse
1,True,,series_1,"('fp_x_A', 'fp_x_C')","('F_vap', 'F_liq', 'T_vap', 'T_liq', 'y_A', 'y_B', 'y_C', 'x_A', 'x_B')","('F_vap', 'T_vap', 'T_liq', 'y_B', 'y_C', 'x_A', 'x_B')","('F_liq', 'y_A')","('fp_x_A', 'series_1_pred_x_A', 'fp_x_C', 'series_1_pred_T_vap', 'series_1_pred_F_vap', 'series_1_pred_T_liq', 'series_1_pred_y_C', 'series_1_pred_y_A', 'series_1_pred_x_B', 'series_1_pred_F_liq')",11780.9279857504,12538.755153341222,-20953.46858187208,-0.6256218980121605,11780.9279857504,-18836.195023779557,-0.6152176681628956,105,"{'F_vap': 0.004276045763393642, 'F_liq': 0.0284439434754081, 'T_vap': 7.100066361466618, 'T_liq': 8.197679917087378, 'y_A': 0.020460068026227792, 'y_B': 0.02115607160878429, 'y_C': 0.005409405616962879, 'x_A': 0.01598413131676859, 'x_B': 0.00840286104644139}","{'F_vap': 0.3537919274321702, 'F_liq': 0.7343461633266546, 'T_vap': 0.17918121637165496, 'T_liq': 0.2068576366708471, 'y_A': 0.3825338934271821, 'y_B': 0.47870406479422634, 'y_C': 0.1968574885708907, 'x_A': 0.07959373150811491, 'x_B': 0.23929360400926822}"
2,True,,integrated,"('fp_F_liq', 'T_feed')","('F_liq', 'y_A')","('F_liq', 'y_A')",(),(),-13683.671093550216,12665.486852048765,126.73169870754282,0.0101071994115598,11908.45468586961,127.52670011920964,0.010824843363227355,60,"{'F_liq': 0.0005045756186541434, 'y_A': 0.0013242007759662936}","{'F_liq': 0.013026786176368153, 'y_A': 0.02475806423812143}"
